individual	time	statistic	proportion	rate_eur2afr	replicate
eur_10	22000	direct f4-ratio	0.03216243185006291	0.15000000000000002	2
eur_11	20000	direct f4-ratio	0.037513196141665095	0.15000000000000002	2
eur_12	18000	direct f4-ratio	0.04341349838753995	0.15000000000000002	2
eur_13	16000	direct f4-ratio	0.026435667905537318	0.15000000000000002	2
eur_14	14000	direct f4-ratio	0.029993203083197157	0.15000000000000002	2
eur_15	12000	direct f4-ratio	0.018568598244370852	0.15000000000000002	2
eur_16	10000	direct f4-ratio	0.04688426441452515	0.15000000000000002	2
eur_17	8000	direct f4-ratio	0.03710827343851683	0.15000000000000002	2
eur_18	6000	direct f4-ratio	0.03517042907345009	0.15000000000000002	2
eur_19	4000	direct f4-ratio	0.04503318920013304	0.15000000000000002	2
eur_20	2000	direct f4-ratio	0.029703972580948385	0.15000000000000002	2
eur_21	0	direct f4-ratio	0.041504577072698084	0.15000000000000002	2
eur_1	40000	direct f4-ratio	0.039146982420105114	0.17500000000000002	2
eur_2	38000	direct f4-ratio	0.05684770132302302	0.17500000000000002	2
eur_3	36000	direct f4-ratio	0.05739140941219115	0.17500000000000002	2
eur_4	34000	direct f4-ratio	0.00885035945145895	0.17500000000000002	2
eur_5	32000	direct f4-ratio	0.04343623512354256	0.17500000000000002	2
eur_6	30000	direct f4-ratio	0.033921343563100344	0.17500000000000002	2
eur_7	28000	direct f4-ratio	0.02479913006705733	0.17500000000000002	2
eur_8	26000	direct f4-ratio	0.004953784812420709	0.17500000000000002	2
eur_9	24000	direct f4-ratio	0.04606415755452184	0.17500000000000002	2
eur_10	22000	direct f4-ratio	0.016462272699812725	0.17500000000000002	2
eur_11	20000	direct f4-ratio	0.041261402766870056	0.17500000000000002	2
eur_12	18000	direct f4-ratio	0.05331359874343019	0.17500000000000002	2
eur_13	16000	direct f4-ratio	0.04391953120280312	0.17500000000000002	2
eur_14	14000	direct f4-ratio	0.03292454539962545	0.17500000000000002	2
eur_15	12000	direct f4-ratio	0.03929801244487405	0.17500000000000002	2
eur_16	10000	direct f4-ratio	0.024376245997704347	0.17500000000000002	2
eur_17	8000	direct f4-ratio	0.050323204253005495	0.17500000000000002	2
eur_18	6000	direct f4-ratio	0.04271129100465173	0.17500000000000002	2
eur_19	4000	direct f4-ratio	0.049960732193560085	0.17500000000000002	2
eur_20	2000	direct f4-ratio	0.0234700658490908	0.17500000000000002	2
eur_21	0	direct f4-ratio	0.047181779737811874	0.17500000000000002	2
eur_1	40000	direct f4-ratio	0.023209247292254483	0.2	2
eur_2	38000	direct f4-ratio	0.027274657929067688	0.2	2
eur_3	36000	direct f4-ratio	0.02132823640059464	0.2	2
eur_4	34000	direct f4-ratio	0.04814781104942204	0.2	2
eur_5	32000	direct f4-ratio	0.04253511725979187	0.2	2
eur_6	30000	direct f4-ratio	0.02672855799277935	0.2	2
eur_7	28000	direct f4-ratio	0.006037438184521101	0.2	2
eur_8	26000	direct f4-ratio	0.01762689238797367	0.2	2
eur_9	24000	direct f4-ratio	0	0.2	2
eur_10	22000	direct f4-ratio	0.009283698916901794	0.2	2
eur_11	20000	direct f4-ratio	0.011862504171596736	0.2	2
eur_12	18000	direct f4-ratio	0.02463517490367404	0.2	2
